t_s,roll_deg,pitch_deg,pitch_accel_deg,raw_ax_mps2,raw_ax_filt_mps2,raw_ay_mps2,raw_az_mps2,speed_kmh,hall_f_hz,hall_r_hz,gps_fix
0.000,-2.14,1.61,-2.12,0.3828,0.3828,-0.3828,10.3477,0.09,0.00,0.00,1
0.019,-2.14,1.61,-3.07,0.5352,0.4165,-0.7266,9.9648,0.09,0.00,0.00,1
0.034,-2.14,1.61,3.02,-0.4609,0.3551,-0.4219,8.7344,0.09,0.00,0.00,1
0.051,-2.12,1.59,1.20,-0.1914,0.1365,-0.3828,9.1172,0.09,0.00,0.00,1
0.069,-2.12,1.60,5.30,-0.7656,-0.0836,-0.6133,8.2344,0.09,0.00,0.00,1
0.090,-2.11,1.60,-1.33,0.2305,0.0928,-0.3047,9.9219,0.13,0.00,0.00,1
0.102,-2.10,1.59,-1.33,0.2305,0.1139,-0.3047,9.9219,0.13,0.00,0.00,1
0.122,-2.09,1.58,1.23,-0.1914,0.0893,-0.2695,8.9258,0.13,0.00,0.00,1
0.140,-2.07,1.56,-1.10,0.1914,0.0403,-0.1914,10.0039,0.13,0.00,0.00,1
0.153,-2.06,1.57,5.57,-0.8047,-0.0059,-0.4219,8.2383,0.13,0.00,0.00,1
0.170,-2.05,1.57,-0.44,0.0781,-0.1618,0.0000,10.0742,0.13,0.00,0.00,1
0.188,-2.05,1.58,0.95,-0.1523,-0.1310,-0.0391,9.1953,0.13,0.00,0.00,1
0.209,-2.04,1.57,0.47,-0.0781,-0.1207,-0.4609,9.4648,0.13,0.00,0.00,1
0.221,-2.03,1.56,0.92,-0.1523,-0.1277,-0.1914,9.4609,0.13,0.00,0.00,1
0.239,-2.03,1.56,-2.40,0.4219,-0.0076,-0.0781,10.0703,0.13,0.00,0.00,1
0.262,-2.02,1.55,-1.62,0.2695,-0.1541,-0.3437,9.5039,0.13,0.00,0.00,1
0.272,-2.03,1.55,-1.62,0.2695,-0.0890,-0.3437,9.5039,0.06,0.00,0.00,1
0.292,-2.03,1.53,3.29,-0.4961,-0.1139,-0.2305,8.6172,0.06,0.00,0.00,1
0.310,-2.03,1.53,1.66,-0.2695,-0.2042,-0.1914,9.3086,0.06,0.00,0.00,1
0.323,-2.03,1.52,-1.36,0.2305,-0.1787,-0.3047,9.7305,0.06,0.00,0.00,1
0.340,-2.04,1.53,0.49,-0.0781,-0.0873,-0.1914,9.1562,0.06,0.00,0.00,1
0.359,-2.05,1.53,-2.68,0.4609,0.0351,-0.3437,9.8477,0.06,0.00,0.00,1
0.374,-2.06,1.52,-1.76,0.3047,0.0880,-0.3828,9.8828,0.06,0.00,0.00,1
0.391,-2.08,1.51,5.09,-0.7266,0.0670,-0.2695,8.1602,0.06,0.00,0.00,1
0.409,-2.08,1.50,1.62,-0.2695,-0.1024,-0.1523,9.5039,0.06,0.00,0.00,1
0.432,-2.10,1.51,-1.98,0.3437,-0.1565,0.0000,9.9219,0.06,0.00,0.00,1
0.442,-2.10,1.51,-1.98,0.3437,-0.0796,0.0000,9.9219,0.06,0.00,0.00,1
0.459,-2.13,1.52,-1.79,0.3047,0.0318,-0.2305,9.7305,0.06,0.00,0.00,1
0.480,-2.15,1.52,2.75,-0.4219,0.1075,-0.1914,8.7773,0.02,0.00,0.00,1
0.500,-2.15,1.48,-1.10,0.1914,0.0627,-0.2305,9.9648,0.02,0.00,0.00,1
0.510,-2.16,1.49,5.28,-0.7656,0.0059,-0.4961,8.2734,0.02,0.00,0.00,1
0.531,-2.18,1.49,-1.97,0.3437,-0.0116,-0.1914,10.0000,0.02,0.00,0.00,1
0.549,-2.20,1.48,0.00,0.0000,0.0335,-0.2305,9.4258,0.02,0.00,0.00,1
0.561,-2.21,1.49,-4.41,0.8047,0.0927,-0.6133,10.4180,0.02,0.00,0.00,1
0.579,-2.22,1.47,2.71,-0.4219,0.0640,-0.1914,8.9219,0.02,0.00,0.00,1
0.599,-2.24,1.47,-0.23,0.0391,0.0282,-0.1914,9.5391,0.02,0.00,0.00,1
0.612,-2.24,1.46,8.02,-1.1094,-0.2236,-0.6133,7.8516,0.02,0.00,0.00,1
0.630,-2.26,1.43,-1.98,0.3437,-0.1532,-0.3437,9.9219,0.02,0.00,0.00,1
0.650,-2.27,1.41,-1.80,0.3047,-0.0368,-0.4961,9.6875,0.02,0.00,0.00,1
0.671,-2.29,1.41,1.22,-0.1914,-0.0302,-0.4219,9.0039,0.02,0.00,0.00,1
0.681,-2.29,1.40,-1.35,0.2305,-0.0321,-0.1914,9.8047,0.04,0.00,0.00,1
0.701,-2.29,1.39,6.58,-0.9180,-0.0495,-0.5742,7.9336,0.04,0.00,0.00,1
0.719,-2.31,1.34,-2.57,0.4609,-0.0404,-0.3828,10.2656,0.04,0.00,0.00,1
0.731,-2.32,1.33,1.43,-0.2305,-0.0187,-0.3437,9.2266,0.04,0.00,0.00,1
0.748,-2.32,1.32,-0.48,0.0781,-0.0226,-0.4609,9.3047,0.04,0.00,0.00,1
0.769,-2.34,1.30,1.21,-0.1914,-0.0537,-0.3828,9.0391,0.04,0.00,0.00,1
0.782,-2.35,1.31,-2.41,0.4219,0.0516,-0.3047,10.0039,0.04,0.00,0.00,1
0.800,-2.35,1.28,4.20,-0.6133,-0.0725,-0.3828,8.3516,0.04,0.00,0.00,1
0.822,-2.35,1.23,0.00,0.0000,-0.0281,-0.7656,9.3086,0.04,0.00,0.00,1
0.833,-2.35,1.22,0.00,0.0000,-0.0238,-0.7656,9.3086,0.04,0.00,0.00,1
0.852,-2.35,1.21,0.48,-0.0781,-0.0998,-0.4961,9.2656,0.04,0.00,0.00,1
0.870,-2.35,1.22,-0.48,0.0781,-0.0812,-0.5352,9.3867,0.04,0.00,0.00,1
0.889,-2.34,1.20,-1.14,0.1914,-0.0018,-0.2305,9.6484,0.06,0.00,0.00,1
0.901,-2.33,1.18,-1.31,0.2305,0.0310,-0.4219,10.0312,0.06,0.00,0.00,1
0.919,-2.33,1.15,-2.47,0.4219,0.1414,-0.7656,9.7305,0.06,0.00,0.00,1
0.939,-2.32,1.16,3.28,-0.4961,0.0178,-0.3437,8.6602,0.06,0.00,0.00,1
0.952,-2.31,1.16,-0.23,0.0391,-0.0184,-0.4961,9.7305,0.06,0.00,0.00,1
0.969,-2.30,1.17,6.39,-0.8828,-0.2028,-0.7656,7.8516,0.06,0.00,0.00,1
0.992,-2.28,1.13,0.47,-0.0781,-0.0967,-0.3047,9.5781,0.06,0.00,0.00,1
1.003,-2.28,1.10,0.47,-0.0781,-0.0938,-0.3047,9.5781,0.06,0.00,0.00,1
1.023,-2.26,1.08,0.94,-0.1523,0.0074,-0.1914,9.2695,0.06,0.00,0.00,1
1.040,-2.25,1.08,-3.63,0.6523,0.0265,-0.3437,10.2656,0.06,0.00,0.00,1
1.059,-2.24,1.10,6.80,-0.9570,-0.1163,-0.4609,8.0078,0.06,0.00,0.00,1
1.071,-2.23,1.10,-0.64,0.1133,-0.1598,-0.1914,10.1133,0.04,0.00,0.00,1
1.090,-2.22,1.10,0.69,-0.1133,-0.1005,-0.6133,9.3867,0.04,0.00,0.00,1
1.108,-2.21,1.08,3.49,-0.5352,-0.1982,-0.3437,8.7773,0.04,0.00,0.00,1
1.122,-2.20,1.06,0.69,-0.1133,-0.2162,-0.3828,9.3867,0.04,0.00,0.00,1
1.139,-2.19,1.05,1.20,-0.1914,-0.1984,-0.5742,9.0820,0.04,0.00,0.00,1
