t_s,roll_deg,pitch_deg,pitch_gravity_deg,raw_ax_mps2,raw_ax_filt_mps2,raw_ay_mps2,raw_az_mps2,speed_kmh,hall_f_hz,hall_r_hz,gps_fix
0.003,-2.92,-1.07,-1.05,0.0781,0.7106,-0.1523,9.3047,0.02,0.00,0.00,1
0.024,-2.93,-1.08,-1.05,0.4961,0.5647,-0.4961,9.8867,0.02,0.00,0.00,1
0.041,-2.95,-1.06,-1.05,-0.5352,0.3131,-0.6914,8.0117,0.02,0.00,0.00,1
0.054,-2.96,-1.07,-1.05,0.5742,0.2715,-0.4609,9.7695,0.02,0.00,0.00,1
0.071,-2.99,-1.06,-1.05,-0.1523,0.2139,-0.5742,9.1992,0.02,0.00,0.00,1
0.091,-3.01,-1.04,-1.05,-0.1523,0.1101,-0.4219,8.9258,0.02,0.00,0.00,1
0.113,-3.03,-1.04,-1.05,0.6133,0.1758,-0.3828,9.8867,0.02,0.00,0.00,1
0.122,-3.05,-1.04,-1.05,0.6133,0.2430,-0.3828,9.8867,0.02,0.00,0.00,1
0.143,-3.07,-1.05,-1.05,0.6133,0.3144,-0.4219,9.6875,0.02,0.00,0.00,1
0.163,-3.11,-1.04,-1.05,0.6914,0.4054,-0.9180,9.7695,0.02,0.00,0.00,1
0.173,-3.12,-1.03,-1.05,-0.4219,0.3796,-0.3437,8.3555,0.02,0.00,0.00,1
0.192,-3.16,-1.04,-1.05,-0.0781,0.1798,-0.5352,9.2305,0.02,0.00,0.00,1
0.211,-3.19,-1.04,-1.05,-0.4219,0.0158,-0.7656,8.2773,0.02,0.00,0.00,1
0.224,-3.20,-1.05,-1.05,0.4609,0.0192,-0.1523,9.8047,0.02,0.00,0.00,1
0.243,-3.22,-1.06,-1.05,0.2695,0.1274,-0.5742,9.8437,0.02,0.00,0.00,1
0.260,-3.27,-1.05,-1.05,0.5742,0.2433,-0.6133,9.8437,0.02,0.00,0.00,1
0.283,-3.31,-1.06,-1.05,0.6523,0.2924,-0.4609,10.1914,0.02,0.00,0.00,1
0.292,-3.33,-1.05,-1.05,0.6523,0.3477,-0.4609,10.1914,0.02,0.00,0.00,1
0.314,-3.35,-1.06,-1.05,0.3437,0.2161,-0.4609,9.5039,0.02,0.00,0.00,1
0.333,-3.39,-1.07,-1.05,-0.2305,0.2064,-0.9570,8.8437,0.02,0.00,0.00,1
0.352,-3.42,-1.06,-1.05,-0.3047,0.0410,-0.3437,9.0781,0.02,0.00,0.00,1
0.363,-3.43,-1.06,-1.05,0.0781,0.0185,-0.9180,9.1602,0.02,0.00,0.00,1
0.383,-3.44,-1.07,-1.05,0.8438,0.2083,-0.4961,10.3867,0.02,0.00,0.00,1
0.394,-3.46,-1.06,-1.05,-0.0391,0.2353,-0.6133,8.7383,0.02,0.00,0.00,1
0.412,-3.48,-1.08,-1.05,0.5352,0.2034,-0.7656,10.2266,0.02,0.00,0.00,1
0.431,-3.50,-1.08,-1.05,-0.1133,0.1730,-0.9180,9.0820,0.02,0.00,0.00,1
0.453,-3.51,-1.07,-1.05,0.0000,0.0455,-0.8828,9.1211,0.02,0.00,0.00,1
0.462,-3.52,-1.07,-1.05,0.0000,0.0385,-0.8828,9.1211,0.02,0.00,0.00,1
0.483,-3.54,-1.06,-1.05,0.3047,0.1436,-0.4961,9.3828,0.02,0.00,0.00,1
0.503,-3.54,-1.09,-1.05,0.6133,0.2140,-0.7266,10.0039,0.02,0.00,0.00,1
0.523,-3.54,-1.10,-1.10,0.6133,0.3501,-1.0352,9.7656,0.02,0.00,0.00,1
0.532,-3.55,-1.09,-1.10,-0.4219,0.3077,-0.6133,8.3164,0.02,0.00,0.00,1
0.552,-3.54,-1.09,-1.10,0.0000,0.1345,-0.6523,9.4219,0.02,0.00,0.00,1
0.564,-3.54,-1.09,-1.10,-0.4219,0.0710,-0.8047,8.4648,0.02,0.00,0.00,1
0.583,-3.53,-1.11,-1.10,0.4961,0.0047,-0.3437,9.9648,0.02,0.00,0.00,1
0.600,-3.53,-1.11,-1.10,0.6523,0.2068,-0.6133,9.9648,0.02,0.00,0.00,1
0.620,-3.53,-1.11,-1.10,0.7266,0.3496,-0.9961,10.0742,0.02,0.00,0.00,1
0.632,-3.53,-1.11,-1.10,-0.0781,0.2549,-0.4961,8.7773,0.02,0.00,0.00,1
0.651,-3.51,-1.11,-1.10,0.4961,0.2875,-0.5742,9.8437,0.02,0.00,0.00,1
0.674,-3.51,-1.12,-1.10,0.4961,-0.0261,-0.4961,9.7305,0.02,0.00,0.00,1
0.683,-3.50,-1.14,-1.10,0.4961,0.0541,-0.4961,9.7305,0.02,0.00,0.00,1
0.703,-3.49,-1.13,-1.10,0.4219,0.1289,-0.6523,9.8086,0.02,0.00,0.00,1
0.724,-3.48,-1.13,-1.10,0.2305,0.1967,-0.6523,9.2695,0.02,0.00,0.00,1
0.734,-3.47,-1.13,-1.10,0.6914,0.2410,-0.4961,10.1875,0.02,0.00,0.00,1
0.752,-3.46,-1.14,-1.10,-0.3047,0.2891,-0.5742,8.5820,0.02,0.00,0.00,1
0.771,-3.44,-1.15,-1.10,0.1914,0.1964,-0.6523,9.6875,0.00,0.00,0.00,1
0.791,-3.42,-1.15,-1.10,0.0781,0.1699,-0.8047,9.4258,0.00,0.00,0.00,1
