t_s,roll_deg,pitch_rv_deg,pitch_game_deg,pitch_comp_deg,gyro_y_rads,raw_ax_mps2,raw_ax_filt_mps2,raw_ay_mps2,raw_az_mps2,speed_kmh,hall_f_hz,hall_r_hz,gps_fix
0.009,-2.37,0.00,0.02,0.00,0.0527,0.0391,0.0391,-0.2305,9.2695,0.00,0.00,0.00,1
0.039,-2.37,0.00,0.02,-0.28,-0.0410,0.0781,0.1818,-0.2305,9.1562,0.00,0.00,0.00,1
0.059,-2.37,0.00,0.03,-0.26,0.0176,0.3828,0.2139,-0.8438,9.7305,0.02,0.00,0.00,1
0.060,-2.37,0.00,0.03,-0.26,0.0176,0.3828,0.2139,-0.8438,9.7305,0.02,0.00,0.00,1
0.089,-2.47,0.05,0.05,-0.32,-0.0508,-0.5742,-0.0027,-0.3437,8.3906,0.02,0.00,0.00,1
0.099,-2.47,0.05,0.05,-0.32,-0.0059,0.1523,-0.0323,-0.4961,9.4219,0.02,0.00,0.00,1
0.149,-2.47,0.05,0.05,-0.35,-0.0117,0.4219,0.1258,-0.5352,9.6523,0.02,0.00,0.00,1
0.169,-2.47,0.05,0.07,-0.44,-0.0410,0.6914,0.2864,-0.3047,10.0742,0.02,0.00,0.00,1
0.179,-2.47,0.05,0.07,-0.49,-0.0410,-0.4609,0.2564,-0.4219,8.3555,0.02,0.00,0.00,1
0.180,-2.47,0.05,0.07,-0.49,-0.0410,-0.4609,0.2564,-0.4219,8.3555,0.02,0.00,0.00,1
0.199,-2.47,0.05,0.05,-0.47,-0.0078,0.0391,0.1225,-0.4609,9.4648,0.02,0.00,0.00,1
0.200,-2.47,0.05,0.05,-0.47,-0.0078,0.0391,0.1225,-0.4609,9.4648,0.02,0.00,0.00,1
0.229,-2.47,0.05,0.06,-0.43,-0.0645,0.9961,0.2112,-0.4609,10.3477,0.02,0.00,0.00,1
0.230,-2.47,0.05,0.06,-0.43,-0.0645,0.9961,0.2112,-0.4609,10.3477,0.02,0.00,0.00,1
0.259,-2.47,0.05,0.08,-0.43,-0.0312,0.9570,0.4904,-0.5742,10.0000,0.02,0.00,0.00,1
0.289,-2.67,0.08,0.08,-0.46,-0.0215,0.7266,0.4521,-0.4609,10.1094,0.02,0.00,0.00,1
0.290,-2.67,0.08,0.08,-0.46,-0.0215,0.7266,0.4521,-0.4609,10.1094,0.02,0.00,0.00,1
0.309,-2.71,0.10,0.08,-0.41,0.0273,-0.6133,0.2491,-0.6133,7.8164,0.02,0.00,0.00,1
0.319,-2.71,0.10,0.08,-0.41,0.0000,0.4961,0.2054,-0.3828,10.0742,0.02,0.00,0.00,1
0.339,-2.71,0.10,0.10,-0.39,0.0391,0.1914,0.2371,-0.6523,9.1562,0.02,0.00,0.00,1
0.369,-2.78,0.11,0.11,-0.35,0.0371,0.3437,0.3126,-0.6914,9.0391,0.02,0.00,0.00,1
0.369,-2.78,0.11,0.11,-0.35,0.0371,0.3437,0.3126,-0.6914,9.0391,0.02,0.00,0.00,1
0.400,-2.78,0.11,0.10,-0.35,0.0273,-0.2695,0.3031,-0.4961,8.1953,0.02,0.00,0.00,1
0.400,-2.78,0.11,0.10,-0.35,0.0273,-0.2695,0.3031,-0.4961,8.1953,0.02,0.00,0.00,1
0.419,-2.78,0.11,0.10,-0.34,0.0137,0.6133,0.3361,-0.6523,9.6484,0.02,0.00,0.00,1
0.440,-2.78,0.11,0.12,-0.34,0.0137,0.6914,0.2472,-0.6523,9.5781,0.02,0.00,0.00,1
0.459,-2.78,0.11,0.12,-0.37,0.0254,0.3437,0.3454,-0.4219,9.3828,0.00,0.00,0.00,1
0.480,-2.78,0.11,0.15,-0.37,-0.0156,0.7656,0.4382,-0.2695,10.0703,0.00,0.00,0.00,1
0.499,-2.78,0.11,0.14,-0.44,-0.0625,0.5742,0.3154,-0.6914,9.6484,0.00,0.00,0.00,1
0.510,-2.78,0.11,0.14,-0.49,-0.0449,0.5742,0.3551,-0.6914,9.6484,0.00,0.00,0.00,1
0.569,-2.86,0.14,0.14,-0.48,-0.0156,0.6914,0.3988,-0.3828,9.7695,0.00,0.00,0.00,1
0.569,-2.86,0.14,0.14,-0.48,-0.0156,0.6914,0.3988,-0.3828,9.7695,0.00,0.00,0.00,1
0.600,-2.86,0.14,0.10,-0.63,-0.0527,0.3828,0.3141,-0.2695,10.3047,0.00,0.00,0.00,1
0.620,-2.86,0.14,0.08,-0.64,-0.0039,0.3437,0.3289,-0.6133,9.3047,0.00,0.00,0.00,1
0.640,-2.86,0.14,0.09,-0.61,0.0195,0.1523,0.2541,-0.4609,9.1211,0.00,0.00,0.00,1
0.649,-2.86,0.14,0.09,-0.63,-0.0176,0.1523,0.2384,-0.4609,9.1211,0.00,0.00,0.00,1
0.649,-2.86,0.14,0.09,-0.63,-0.0176,0.1523,0.2384,-0.4609,9.1211,0.00,0.00,0.00,1
0.680,-2.86,0.14,0.08,-0.61,0.0430,0.4961,0.2993,-0.3828,9.5820,0.00,0.00,0.00,1
0.680,-2.86,0.14,0.08,-0.61,0.0430,0.4961,0.2993,-0.3828,9.5820,0.00,0.00,0.00,1
0.710,-2.86,0.14,0.05,-0.72,-0.0625,0.4961,0.4416,-0.7656,9.6523,0.00,0.00,0.00,1
0.729,-2.86,0.14,0.05,-0.66,0.0293,-0.6133,0.2115,-0.2695,8.2383,0.00,0.00,0.00,1
0.759,-2.86,0.14,0.05,-0.66,0.0176,-0.2695,0.0683,-0.5352,8.7773,0.00,0.00,0.00,1
0.759,-2.86,0.14,0.05,-0.66,0.0176,-0.2695,0.0683,-0.5352,8.7773,0.00,0.00,0.00,1
0.760,-2.86,0.14,0.05,-0.66,0.0176,-0.2695,0.0683,-0.5352,8.7773,0.00,0.00,0.00,1
0.769,-2.86,0.14,0.05,-0.68,-0.0156,0.9180,0.1114,-0.3047,10.2266,0.00,0.00,0.00,1
0.789,-2.86,0.14,0.01,-0.72,-0.0469,0.5742,0.3103,-0.4961,9.7695,0.00,0.00,0.00,1
0.819,-2.86,0.14,0.03,-0.72,-0.0020,-0.3047,0.2325,-0.3047,8.6602,0.00,0.00,0.00,1
0.819,-2.86,0.14,0.03,-0.72,-0.0020,-0.3047,0.2325,-0.3047,8.6602,0.00,0.00,0.00,1
0.860,-2.86,0.14,0.02,-0.79,-0.0273,0.6914,-0.0749,-0.0781,10.3086,0.00,0.00,0.00,1
0.860,-2.86,0.14,0.02,-0.79,-0.0273,0.6914,-0.0749,-0.0781,10.3086,0.00,0.00,0.00,1
0.869,-2.86,0.14,0.02,-0.82,-0.0273,0.6914,0.0428,-0.0781,10.3086,0.00,0.00,0.00,1
0.899,-2.86,0.14,0.01,-0.80,-0.0273,0.7656,0.3588,-0.6133,9.8828,0.00,0.00,0.00,1
0.899,-2.86,0.14,0.01,-0.80,-0.0273,0.7656,0.3588,-0.6133,9.8828,0.00,0.00,0.00,1
