t_s,roll_deg,pitch_rv_deg,pitch_game_deg,pitch_gyro_deg,pitch_accel_deg,gyro_y_rads,gyro_y_filt_rads,raw_ax_mps2,raw_ax_filt_mps2,raw_ay_mps2,raw_az_mps2,speed_kmh,hall_f_hz,hall_r_hz,gps_fix
0.031,-5.40,-0.31,-0.26,-0.05,-1.40,0.0312,0.0000,0.2305,-0.1251,-1.1875,9.6875,0.00,0.00,0.00,1
0.053,-5.40,-0.31,-0.27,0.03,3.58,0.0059,0.0000,0.0391,-0.2189,-1.0352,9.3477,0.00,0.00,0.00,1
0.063,-5.40,-0.31,-0.27,0.02,-0.28,-0.0137,0.0000,0.0391,-0.1793,-1.0352,9.3477,0.00,0.00,0.00,1
0.083,-5.40,-0.31,-0.27,0.01,-0.28,0.0586,0.0000,0.3437,-0.0750,-0.8828,9.7305,0.00,0.00,0.00,1
0.103,-5.40,-0.31,-0.28,-0.07,-2.06,-0.0137,0.0000,0.4961,0.0560,-0.8828,10.1484,0.00,0.00,0.00,1
0.121,-5.40,-0.31,-0.28,-0.12,-2.84,0.0273,0.0000,0.0781,0.1166,-1.2656,9.2695,0.00,0.00,0.00,1
0.139,-5.40,-0.31,-0.29,-0.13,-0.52,-0.0039,0.0000,-0.6914,-0.0125,-0.6133,8.4258,0.00,0.00,0.00,1
0.151,-5.40,-0.31,-0.30,-0.12,0.43,-0.0195,0.0000,-0.0781,-0.0270,-0.9570,9.5430,0.00,0.00,0.00,1
0.171,-5.40,-0.31,-0.31,-0.05,2.81,-0.0605,0.0000,-0.4219,-0.1176,-0.8828,8.4609,0.00,0.00,0.00,1
0.182,-5.40,-0.31,-0.33,-0.05,2.81,-0.0605,0.0000,0.6133,-0.0053,-0.9570,10.3867,0.00,0.00,0.00,1
0.200,-5.40,-0.31,-0.34,-0.12,-3.42,-0.0254,0.0000,0.4609,0.1467,-0.7656,10.0352,0.00,0.00,0.00,1
0.223,-5.40,-0.31,-0.34,-0.23,-3.29,-0.0078,0.0000,-0.4219,0.2063,-0.6133,8.6562,0.00,0.00,0.00,1
0.233,-5.40,-0.31,-0.34,-0.17,2.75,0.0059,0.0000,-0.4219,0.1098,-0.6133,8.6562,0.00,0.00,0.00,1
0.260,-5.40,-0.31,-0.35,0.02,7.30,-0.0664,0.0000,-0.9961,-0.1534,-0.8438,7.7344,0.00,0.00,0.00,1
0.272,-5.40,-0.31,-0.35,0.16,7.30,0.0176,0.0000,0.4219,-0.1694,-0.8438,10.3086,0.00,0.00,0.00,1
0.290,-5.40,-0.31,-0.37,0.11,-2.38,0.0020,0.0000,0.0000,-0.0665,-0.8828,9.4219,0.00,0.00,0.00,1
0.302,-5.40,-0.31,-0.37,0.11,-0.04,0.0391,0.0000,-0.2305,-0.0747,-0.9180,9.0391,0.00,0.00,0.00,1
0.321,-5.40,-0.31,-0.37,0.14,1.42,-0.0176,0.0000,0.1133,-0.0661,-0.9180,9.3477,0.00,0.00,0.00,1
0.341,-5.40,-0.31,-0.37,0.08,-1.85,0.0430,0.0000,0.3047,0.0374,-0.9570,9.6523,0.00,0.00,0.00,1
0.352,-5.40,-0.31,-0.37,0.04,-1.85,-0.0352,0.0000,-0.1523,0.0419,-0.8047,9.1562,0.00,0.00,0.00,1
0.370,-5.40,-0.31,-0.38,0.06,0.91,-0.0020,0.0000,0.4219,0.0750,-0.8047,10.0039,0.00,0.00,0.00,1
0.399,-5.40,-0.31,-0.36,0.00,-0.28,0.0645,0.0000,-0.5742,-0.0132,-0.5352,8.5000,0.00,0.00,0.00,1
0.403,-5.40,-0.31,-0.36,0.00,-0.28,0.0645,0.0000,-0.5742,-0.0132,-0.5352,8.5000,0.00,0.00,0.00,1
0.423,-5.40,-0.31,-0.37,0.08,0.19,-0.0039,0.0000,-0.4219,-0.0833,-0.8828,8.5000,0.00,0.00,0.00,1
0.442,-5.40,-0.31,-0.36,0.19,2.80,-0.0391,0.0000,0.6523,-0.0934,-0.8828,10.4531,0.00,0.00,0.00,1
0.461,-5.40,-0.31,-0.38,0.11,-3.61,-0.0137,0.0000,0.4961,0.0941,-0.7656,10.1523,0.00,0.00,0.00,1
0.473,-5.40,-0.31,-0.38,0.05,-2.84,-0.0234,0.0000,0.4961,0.1831,-1.3008,9.6523,0.00,0.00,0.00,1
0.492,-5.40,-0.31,-0.37,-0.07,-2.98,-0.0254,0.0000,-0.4609,0.1953,-0.6914,8.6172,0.00,0.00,0.00,1
0.511,-5.40,-0.31,-0.38,-0.02,-0.50,-0.0156,0.0000,0.0781,0.0909,-0.8828,9.7656,0.00,0.00,0.00,1
0.522,-5.40,-0.31,-0.38,-0.02,-0.50,0.0000,0.0000,-0.6914,0.0274,-0.8047,8.1211,0.00,0.00,0.00,1
0.540,-5.40,-0.31,-0.41,0.07,4.83,-0.0117,0.0000,0.1914,-0.0409,-0.6914,9.8477,0.00,0.00,0.00,1
0.572,-5.31,-0.46,-0.41,0.06,0.43,-0.0312,0.0000,0.3437,0.0491,-1.1094,9.7266,0.00,0.00,0.00,1
0.573,-5.31,-0.46,-0.41,0.06,0.43,-0.0312,0.0000,0.3437,0.0491,-1.1094,9.7266,0.00,0.00,0.00,1
0.591,-5.31,-0.46,-0.42,0.01,-0.04,0.0020,0.0000,0.0000,0.0566,-0.8438,9.1953,0.00,0.00,0.00,1
0.613,-5.31,-0.46,-0.42,-0.03,-2.27,0.0527,0.0000,-1.0352,0.0544,-1.0352,7.8164,0.00,0.00,0.00,1
0.632,-5.31,-0.46,-0.42,0.26,7.50,0.0078,0.0000,0.0781,-0.1656,-0.6914,9.7695,0.00,0.00,0.00,1
0.650,-5.31,-0.46,-0.43,0.25,-0.50,0.0195,0.0000,-0.1523,-0.1319,-0.8828,9.5820,0.00,0.00,0.00,1
0.662,-5.31,-0.46,-0.43,0.26,0.87,0.0527,0.0000,0.5352,-0.0800,-0.9961,9.8867,0.00,0.00,0.00,1
0.680,-5.31,-0.46,-0.41,0.19,-3.14,-0.0254,0.0000,0.0391,0.0183,-0.8828,9.2656,0.00,0.00,0.00,1
0.692,-5.31,-0.46,-0.41,0.18,-0.28,-0.0195,0.0000,0.3828,0.0490,-0.6914,9.9258,0.00,0.00,0.00,1
0.712,-5.30,-0.45,-0.41,0.14,-2.25,0.0684,0.0000,-0.8828,-0.1173,-1.0742,7.9687,0.00,0.00,0.00,1
0.731,-5.30,-0.45,-0.42,0.24,-0.70,0.0078,0.0000,0.1133,-0.1140,-0.6133,9.8867,0.00,0.00,0.00,1
0.743,-5.30,-0.45,-0.42,0.24,-0.70,0.0078,0.0000,-0.4219,-0.1613,-0.9961,8.8437,0.00,0.00,0.00,1
0.761,-5.30,-0.45,-0.42,0.29,2.69,0.0469,0.0000,-0.1523,-0.1938,-0.7266,9.1602,0.00,0.00,0.00,1
0.783,-5.30,-0.45,-0.42,0.30,0.91,0.0312,0.0000,0.3047,-0.0835,-0.8438,9.5391,0.00,0.00,0.00,1
0.802,-5.30,-0.45,-0.41,0.21,-1.87,-0.0449,0.0000,0.0391,0.0054,-0.9570,9.3867,0.00,0.00,0.00,1
0.819,-5.30,-0.45,-0.41,0.20,-0.28,0.0156,0.0000,0.3437,0.0617,-0.6914,9.8828,0.00,0.00,0.00,1
0.832,-5.30,-0.45,-0.41,0.16,-2.03,-0.0332,0.0000,0.4219,0.1113,-1.3008,9.7656,0.00,0.00,0.00,1
0.851,-5.30,-0.45,-0.39,0.20,5.00,-0.0254,0.0000,-0.7266,-0.0370,-0.5742,8.2344,0.00,0.00,0.00,1
0.862,-5.30,-0.45,-0.39,0.30,5.00,0.0137,0.0000,-0.0391,-0.0879,-0.9180,9.6094,0.00,0.00,0.00,1
0.882,-5.30,-0.45,-0.41,0.30,0.19,-0.0195,0.0000,-0.5742,-0.1563,-0.9961,8.2734,0.00,0.00,0.00,1
0.900,-5.30,-0.45,-0.43,0.37,3.93,-0.0273,0.0000,0.6133,-0.0924,-0.8438,10.2305,0.00,0.00,0.00,1
0.922,-5.30,-0.45,-0.43,0.29,-3.47,0.0312,0.0000,0.3047,0.0368,-1.0742,9.6094,0.00,0.00,0.00,1
0.931,-5.30,-0.45,-0.43,0.25,-1.86,0.0137,0.0000,0.3047,0.0780,-1.0742,9.6094,0.00,0.00,0.00,1
0.960,-5.30,-0.45,-0.45,0.21,0.20,-0.0098,0.0000,0.3437,0.1088,-0.8828,9.7656,0.00,0.00,0.00,1
0.973,-5.30,-0.45,-0.45,0.16,-2.06,-0.0488,0.0000,-0.4219,0.0837,-0.8438,8.5000,0.00,0.00,0.00,1
0.990,-5.30,-0.45,-0.48,0.22,2.80,0.0039,0.0000,0.2695,0.0465,-0.7656,9.8828,0.00,0.00,0.00,1
1.002,-5.30,-0.45,-0.48,0.18,-1.60,0.0137,0.0000,-0.3437,0.0317,-1.0742,9.0391,0.00,0.00,0.00,1
1.022,-5.30,-0.45,-0.49,0.22,2.14,-0.0039,0.0000,-0.3437,-0.0748,-0.7656,8.7344,0.00,0.00,0.00,1
1.033,-5.30,-0.45,-0.49,0.26,2.21,0.0039,0.0000,0.0391,-0.1037,-1.0352,9.6094,0.00,0.00,0.00,1
1.052,-5.30,-0.45,-0.50,0.24,-0.27,0.0273,0.0000,0.3828,-0.0357,-0.8438,9.6914,0.00,0.00,0.00,1
1.070,-5.30,-0.45,-0.52,0.19,-2.30,-0.0508,0.0000,0.1523,0.0476,-0.9570,9.2305,0.00,0.00,0.00,1
1.083,-5.30,-0.45,-0.52,0.16,-0.99,-0.0371,0.0000,0.3437,0.0790,-0.8438,9.9219,0.00,0.00,0.00,1
1.101,-5.30,-0.45,-0.54,0.12,-2.03,0.0332,0.0000,-0.1133,0.0839,-1.3008,9.3437,0.00,0.00,0.00,1
1.131,-5.35,-0.61,-0.56,0.23,5.15,-0.0039,0.0000,0.0391,-0.0820,-1.0742,9.5000,0.00,0.00,0.00,1
1.142,-5.35,-0.61,-0.56,0.22,-0.28,0.0156,0.0000,-0.0391,-0.0697,-0.8438,9.0430,0.00,0.00,0.00,1
1.151,-5.35,-0.61,-0.57,0.22,0.21,-0.0410,0.0000,-0.0391,-0.0650,-0.8438,9.0430,0.00,0.00,0.00,1
1.173,-5.35,-0.61,-0.60,0.16,-2.94,-0.0430,0.0000,0.2695,0.1082,-0.8047,10.0352,0.00,0.00,0.00,1
1.192,-5.35,-0.61,-0.60,0.09,-1.58,-0.0312,0.0000,0.6914,0.1877,-1.3008,10.0039,0.00,0.00,0.00,1
1.203,-5.35,-0.61,-0.61,0.01,-3.99,0.0078,0.0000,-0.6914,0.1885,-0.5352,8.4258,0.00,0.00,0.00,1
1.222,-5.35,-0.61,-0.61,0.19,4.65,-0.0156,0.0000,0.0391,-0.0026,-0.9180,9.5820,0.00,0.00,0.00,1
1.241,-5.35,-0.61,-0.63,0.28,5.34,-0.0527,0.0000,-0.7656,-0.1665,-0.8047,8.1211,0.00,0.00,0.00,1
1.253,-5.35,-0.61,-0.63,0.39,5.34,0.0156,0.0000,0.4609,-0.1604,-0.8438,10.1484,0.00,0.00,0.00,1
1.271,-5.35,-0.61,-0.66,0.33,-2.64,-0.0293,0.0000,-0.1133,-0.0724,-0.8828,9.4648,0.00,0.00,0.00,1
1.291,-5.35,-0.61,-0.66,0.27,-2.75,-0.0117,0.0000,0.4609,0.0431,-1.2266,9.7305,0.00,0.00,0.00,1
1.313,-5.35,-0.61,-0.67,0.26,-0.29,-0.0176,0.0000,0.3047,0.0630,-0.8828,9.9258,0.00,0.00,0.00,1
1.321,-5.35,-0.61,-0.66,0.22,-1.80,0.0410,0.0000,0.3047,0.1001,-0.8828,9.9258,0.00,0.00,0.00,1
1.350,-5.35,-0.61,-0.69,0.30,6.34,0.0195,0.0000,0.1914,-0.0592,-0.7266,9.9609,0.00,0.00,0.00,1
1.363,-5.35,-0.61,-0.69,0.27,-1.14,0.0176,0.0000,-0.1523,-0.0482,-0.9570,9.3867,0.00,0.00,0.00,1
1.380,-5.35,-0.61,-0.70,0.28,0.89,0.0000,0.0000,-0.1914,-0.0837,-0.8047,8.9648,0.00,0.00,0.00,1
