t_s,gyro_x_rads,gyro_y_rads,raw_ax_mps2,raw_ay_mps2,raw_az_mps2,speed_kmh,hall_f_hz,hall_r_hz,gps_fix
0.017,-0.0410,0.0137,-0.6523,-0.2305,8.4258,0.13,6.22,5.05,1
0.034,-0.0488,0.0254,0.6914,-0.5742,9.8477,0.13,6.22,5.05,1
0.053,-0.0312,0.0078,0.6914,-0.4219,9.9219,0.13,6.22,5.05,1
0.073,-0.0156,-0.0547,-0.9961,-0.7266,7.3164,0.13,6.22,5.05,1
0.085,-0.0469,0.0703,-0.1133,-0.6914,8.9609,0.13,0.00,0.00,1
0.104,-0.0293,-0.0176,-0.1914,-0.9180,8.5781,0.06,0.00,0.00,1
0.121,-0.0254,-0.0156,-0.3828,-0.6914,8.2734,0.06,0.00,0.00,1
0.136,-0.0137,-0.0156,-0.1914,-0.4609,8.9258,0.06,0.00,0.00,1
0.153,-0.0195,0.0391,0.0781,-0.8438,9.1211,0.06,0.00,0.00,1
0.171,-0.0273,0.0156,0.4609,-0.3437,9.5039,0.06,0.00,0.00,1
0.187,-0.0195,0.0312,0.2305,-0.6133,9.8437,0.06,0.00,0.00,1
0.204,-0.0117,0.0332,0.3437,-0.9180,9.6914,0.06,0.00,0.00,1
0.225,0.0078,-0.0156,0.0781,-0.5352,9.6484,0.06,0.00,0.00,1
0.243,-0.0020,0.0156,-0.8438,-1.0352,7.9297,0.06,0.00,0.00,1
0.256,0.0098,-0.0527,0.4609,-0.2305,10.1133,0.06,0.00,0.00,1
0.273,-0.0059,0.0586,0.0000,-0.3437,9.4219,0.06,0.00,0.00,1
0.290,-0.0039,0.0527,0.7266,-0.5352,10.2656,0.06,0.00,0.00,1
0.306,-0.0156,-0.0430,-0.2305,-0.1914,9.1602,0.02,0.00,0.00,1
0.323,-0.0156,-0.0449,0.5352,-0.3047,10.3828,0.02,0.00,0.00,1
0.340,0.0039,-0.0625,-1.3789,-0.6914,7.4336,0.02,0.00,0.00,1
0.357,-0.0312,0.0137,0.0781,-0.3437,9.8867,0.02,0.00,0.00,1
0.374,-0.0234,-0.0566,-0.2305,-0.3828,9.3437,0.02,0.00,0.00,1
0.391,-0.0195,-0.0625,0.8438,-0.7266,10.4922,0.02,0.00,0.00,1
0.413,-0.0254,-0.0352,0.6914,-0.3047,10.1914,0.02,0.00,0.00,1
0.427,-0.0195,0.0410,-0.7266,-0.4609,8.2773,0.02,0.00,0.00,1
0.443,-0.0371,0.0215,0.0000,-0.3437,10.1094,0.02,0.00,0.00,1
0.460,-0.0234,-0.0176,0.0391,-0.4961,9.3477,0.02,0.00,0.00,1
0.476,-0.0254,0.0625,-0.7656,-0.4609,8.4258,0.02,0.00,0.00,1
0.494,-0.0215,0.0039,0.0391,-0.3047,9.7695,0.00,0.00,0.00,1
0.510,-0.0117,-0.0371,-0.2305,-0.8438,8.6562,0.00,0.00,0.00,1
0.527,-0.0332,-0.0078,0.6914,-0.2305,10.4531,0.00,0.00,0.00,1
0.544,-0.0352,-0.0020,0.0000,-0.4609,9.4648,0.00,0.00,0.00,1
0.561,-0.0391,0.0020,0.3828,-0.6523,9.5820,0.00,0.00,0.00,1
0.584,-0.0410,0.0078,0.4961,-0.4961,9.8047,0.00,0.00,0.00,1
0.597,-0.0410,0.0449,-0.6133,-0.5352,8.2383,0.00,0.00,0.00,1
0.613,-0.0430,0.0234,0.0391,-0.3828,9.6914,0.00,0.00,0.00,1
0.632,-0.0352,-0.0156,0.3828,-0.8438,9.7656,0.00,0.00,0.00,1
0.646,-0.0371,0.0293,-0.6523,-0.5742,8.5000,0.00,0.00,0.00,1
0.663,-0.0234,-0.0195,-0.0391,-0.4219,9.4258,0.00,0.00,0.00,1
0.680,-0.0156,-0.0527,-0.7266,-0.9961,8.0820,0.00,0.00,0.00,1
0.697,-0.0352,0.0078,0.8047,-0.3828,10.5352,0.00,0.00,0.00,1
