t_s,lin_ax_raw_mps2,lin_ax_filt_mps2,lin_ay_raw_mps2,lin_ay_filt_mps2,lin_az_raw_mps2,lin_az_filt_mps2,roll_deg,pitch_deg,speed_kmh,hall_f_hz,hall_r_hz,gps_fix
0.011,1.6406,1.6406,-0.4648,-0.4648,-2.3398,-2.3398,-1.40,2.45,0.00,0.00,0.00,1
0.029,0.9492,1.4528,-0.2344,-0.3955,-1.0781,-2.0782,-1.40,2.44,0.00,0.00,0.00,1
0.039,-1.9609,1.1797,-0.1953,-0.3795,2.2930,-1.7285,-1.40,2.44,0.00,0.00,0.00,1
0.053,1.2578,1.1859,-0.2773,-0.3713,-1.6875,-1.7252,-1.39,2.46,0.00,0.00,0.00,1
0.070,-1.2734,1.0563,-0.0117,-0.3132,1.2617,-1.5936,-1.38,2.47,0.00,0.00,0.00,1
0.081,0.9883,1.0508,-0.0859,-0.2950,-0.9219,-1.5399,-1.38,2.46,0.00,0.00,0.00,1
0.099,2.4805,1.0393,-0.1641,-0.2410,-3.7578,-1.5140,-1.37,2.45,0.00,0.00,0.00,1
0.110,-1.8086,0.8115,0.2187,-0.2042,2.0664,-1.2275,-1.36,2.44,0.00,0.00,0.00,1
0.123,0.3359,0.7734,0.1797,-0.1735,-0.1953,-1.1450,-1.36,2.43,0.00,0.00,0.00,1
0.138,0.3359,0.6838,-0.4727,-0.1574,-0.6172,-0.9963,-1.36,2.46,0.00,0.00,0.00,1
0.151,-1.4258,0.5150,-0.0508,-0.1488,1.9883,-0.7576,-1.35,2.45,0.00,0.00,0.00,1
0.169,1.2930,0.7052,-0.0937,-0.1096,-1.5742,-0.9874,-1.34,2.45,0.00,0.00,0.00,1
0.179,-1.1172,0.5594,0.3633,-0.0718,1.6445,-0.7768,-1.33,2.44,0.00,0.00,0.00,1
0.193,-0.1992,0.4988,-0.4805,-0.1045,-0.0039,-0.7150,-1.33,2.45,0.00,0.00,0.00,1
0.209,1.2188,0.3782,-0.0195,-0.0492,-1.1914,-0.5202,-1.32,2.44,0.00,0.00,0.00,1
0.221,-2.3047,0.1636,-0.2500,-0.0652,3.0625,-0.2336,-1.31,2.45,0.00,0.00,0.00,1
0.239,0.5195,0.3232,-0.0195,-0.0300,-0.9609,-0.4186,-1.30,2.47,0.00,0.00,0.00,1
0.249,0.6367,0.3483,0.0586,-0.0229,-1.1523,-0.4773,-1.29,2.47,0.00,0.00,0.00,1
0.263,-0.8516,0.2523,0.1719,-0.0074,1.1836,-0.3445,-1.29,2.46,0.00,0.00,0.00,1
0.278,2.2070,0.2627,-0.2930,-0.0147,-3.0312,-0.3794,-1.28,2.47,0.00,0.00,0.00,1
0.291,-1.0117,0.1608,0.4336,0.0211,1.2617,-0.2481,-1.27,2.47,0.00,0.00,0.00,1
0.309,-0.5117,0.0857,0.0117,0.0562,0.9141,-0.0837,-1.27,2.48,0.00,0.00,0.00,1
0.319,0.0234,0.0807,-0.4492,0.0158,-0.2734,-0.0988,-1.27,2.49,0.00,0.00,0.00,1
0.333,-0.7812,0.0117,0.1250,0.0245,1.2227,0.0069,-1.26,2.50,0.00,0.00,0.00,1
0.349,1.3242,0.0132,0.0508,0.0369,-1.6523,0.0030,-1.25,2.48,0.00,0.00,0.00,1
0.361,-1.5078,-0.1085,0.2812,0.0564,2.1797,0.1771,-1.25,2.48,0.00,0.00,0.00,1
0.379,-1.3555,-0.1563,0.4336,0.0465,1.8359,0.2344,-1.24,2.47,0.00,0.00,0.00,1
0.390,1.2578,-0.0431,-0.1797,0.0284,-1.5352,0.0929,-1.24,2.46,0.00,0.00,0.00,1
0.403,-2.6133,-0.2487,-0.1875,0.0111,3.3281,0.3517,-1.24,2.46,0.00,0.00,0.00,1
0.419,1.9063,-0.2081,0.1562,-0.0031,-2.6914,0.2646,-1.24,2.46,0.00,0.00,0.00,1
0.431,-0.7734,-0.2533,0.1953,0.0128,0.7148,0.3006,-1.23,2.46,0.00,0.00,0.00,1
0.449,-1.9141,-0.3563,0.0039,0.0002,2.3242,0.4395,-1.23,2.44,0.00,0.00,0.00,1
0.459,2.9883,-0.0888,-0.1484,-0.0117,-4.1094,0.0756,-1.23,2.44,0.00,0.00,0.00,1
0.473,-2.0664,-0.2470,0.2734,0.0111,2.4414,0.2649,-1.23,2.42,0.00,0.00,0.00,1
0.490,0.0859,-0.2496,0.3164,0.0152,0.4883,0.3357,-1.23,2.40,0.00,0.00,0.00,1
0.501,0.4687,-0.1921,-0.3320,-0.0126,-0.8555,0.2404,-1.23,2.41,0.00,0.00,0.00,1
0.518,-1.8984,-0.4493,0.1641,0.0033,2.3555,0.5601,-1.23,2.40,0.00,0.00,0.00,1
0.529,1.7773,-0.2712,-0.0273,0.0009,-2.1250,0.3453,-1.23,2.39,0.00,0.00,0.00,1
0.543,-1.3242,-0.3554,0.3086,0.0255,1.9336,0.4724,-1.23,2.38,0.00,0.00,0.00,1
0.558,-1.8164,-0.3067,0.3086,0.0408,2.2422,0.3690,-1.23,2.37,0.00,0.00,0.00,1
0.572,1.4023,-0.1700,0.0508,0.0416,-1.5117,0.2186,-1.23,2.34,0.00,0.00,0.00,1
0.589,-1.3555,-0.1068,-0.6797,0.0070,0.9375,0.0950,-1.23,2.35,0.00,0.00,0.00,1
0.600,0.1367,-0.0874,0.1250,0.0164,-0.2500,0.0674,-1.24,2.35,0.00,0.00,0.00,1
0.613,1.3633,0.0287,0.2422,0.0345,-1.7891,-0.0811,-1.24,2.34,0.00,0.00,0.00,1
0.630,-1.7383,0.0025,0.4336,0.0705,2.3867,-0.0094,-1.24,2.32,0.00,0.00,0.00,1
0.641,1.2500,0.1023,-0.3320,0.0383,-1.5977,-0.1365,-1.25,2.32,0.00,0.00,0.00,1
0.659,0.6836,0.0956,-0.2266,0.0517,-0.9844,-0.1313,-1.25,2.31,0.00,0.00,0.00,1
0.670,-2.1523,-0.0843,-0.1406,0.0363,2.7305,0.0976,-1.25,2.32,0.00,0.00,0.00,1
0.683,2.2930,0.1059,0.3164,0.0587,-2.1328,-0.0808,-1.26,2.32,0.00,0.00,0.00,1
0.699,-0.6211,0.1918,0.2422,0.0840,0.6250,-0.2262,-1.25,2.32,0.00,0.00,0.00,1
0.711,0.1445,0.1880,-0.0273,0.0751,-0.0664,-0.2135,-1.26,2.31,0.00,0.00,0.00,1
0.729,2.4844,0.2644,-0.2578,0.0409,-3.5117,-0.3621,-1.27,2.31,0.00,0.00,0.00,1
0.739,-1.6523,0.1111,0.3164,0.0630,1.9258,-0.1791,-1.27,2.31,0.00,0.00,0.00,1
0.753,0.3750,0.1322,0.4727,0.0957,-0.1406,-0.1760,-1.28,2.30,0.00,0.00,0.00,1
0.770,-0.5039,0.1133,-0.4492,0.0543,0.3164,-0.1510,-1.28,2.31,0.00,0.00,0.00,1
0.781,-0.8477,0.0364,0.1641,0.0631,1.0469,-0.0552,-1.28,2.31,0.00,0.00,0.00,1
0.799,1.9453,0.0533,0.0586,0.0673,-2.4023,-0.0549,-1.29,2.30,0.00,0.00,0.00,1
0.810,-2.0352,-0.1138,0.2500,0.0819,2.8086,0.1742,-1.30,2.31,0.00,0.00,0.00,1
0.823,1.3711,0.0050,-0.4414,0.0400,-1.9414,0.0050,-1.30,2.30,0.00,0.00,0.00,1
0.839,1.2578,0.0508,-0.0664,0.0605,-1.1016,0.0127,-1.31,2.27,0.00,0.00,0.00,1
0.851,-2.2305,-0.1317,-0.1797,0.0413,2.8828,0.2423,-1.32,2.27,0.00,0.00,0.00,1
0.869,2.4453,0.2107,0.0898,0.0289,-3.5508,-0.2417,-1.32,2.28,0.00,0.00,0.00,1
