t_s,lin_ax_raw_mps2,lin_ax_filt_mps2,lin_ay_raw_mps2,lin_ay_filt_mps2,lin_az_raw_mps2,lin_az_filt_mps2,roll_deg,pitch_deg,raw_ax_mps2,raw_ay_mps2,raw_az_mps2,bike_long_acc_raw_mps2,bike_long_acc_filt_mps2,speed_kmh,hall_f_hz,hall_r_hz,gps_fix
0.004,0.5781,0.5781,0.0508,0.0508,0.9063,0.9063,-0.98,0.71,-0.0781,-0.2305,9.0391,-0.0781,0.4178,28.48,0.00,0.00,1
0.021,0.0312,0.4571,-0.0664,0.0248,-0.3203,0.6348,-0.98,0.66,0.2305,-0.1523,10.1133,0.2305,0.3018,28.48,0.00,0.00,1
0.040,-0.0820,0.3657,-0.0664,0.0096,-0.0508,0.5495,-0.99,0.67,-0.1914,-0.2305,9.3047,-0.1914,0.1841,28.48,0.00,0.00,1
0.060,-0.7734,0.1834,-0.0273,-0.0088,-1.2383,0.2842,-0.98,0.68,-0.8828,-0.1914,8.1172,-0.8828,-0.0754,28.48,0.00,0.00,1
0.072,-0.1211,0.0886,0.1641,0.0037,0.0273,0.1516,-0.98,0.68,-0.2305,0.0000,9.3828,-0.2305,-0.0992,28.48,0.00,0.00,1
0.090,0.0312,0.0413,-0.1406,0.0248,-0.0898,0.1070,-0.99,0.66,-0.0781,-0.3047,9.2695,-0.0781,-0.1027,28.48,0.00,0.00,1
0.113,0.3711,0.0901,0.1250,0.0092,0.3711,0.1107,-0.99,0.62,0.2695,-0.1523,10.1484,0.2695,0.0043,28.48,0.00,0.00,1
0.123,0.3711,0.1333,0.0117,0.0179,0.7930,0.1844,-0.99,0.62,0.2695,-0.1523,10.1484,0.2695,0.0450,28.48,0.00,0.00,1
0.143,0.5625,0.2437,-0.1797,-0.0136,0.5625,0.3565,-0.99,0.63,-0.6133,-0.1523,8.5820,-0.6133,0.0899,28.48,0.00,0.00,1
0.162,-0.5117,0.0964,0.0117,-0.0183,-0.7773,0.1184,-0.99,0.63,-0.1914,0.0000,9.2695,-0.1914,-0.0758,28.48,0.00,0.00,1
0.174,-0.0898,0.0266,0.1641,0.0117,-0.0898,0.0258,-1.00,0.63,-0.8438,-0.3437,8.2383,-0.8438,-0.1536,28.48,0.00,0.00,1
0.191,-0.7500,-0.1525,-0.1797,-0.0212,-1.1250,-0.2361,-0.99,0.59,0.1914,0.0391,9.8437,0.1914,-0.2665,28.48,0.00,0.00,1
0.210,-0.1055,-0.0939,0.0859,0.0240,0.4844,-0.0827,-1.00,0.57,-0.1914,-0.0781,9.8437,-0.1914,-0.1951,28.48,0.00,0.00,1
0.230,0.4766,-0.0506,-0.2578,0.0141,0.0625,0.0444,-1.00,0.60,0.3828,-0.4219,9.4258,0.3828,-0.0670,28.48,0.00,0.00,1
0.242,0.4766,0.0304,-0.2578,-0.0277,0.0625,0.0471,-1.00,0.61,0.0000,-0.0391,9.7656,0.0000,-0.0285,28.48,0.00,0.00,1
0.260,0.5547,0.1108,0.0508,-0.0035,0.4844,0.1569,-1.00,0.61,0.4609,-0.1133,9.8477,0.4609,0.0832,28.48,0.00,0.00,1
0.283,-0.5977,0.0851,-0.0273,0.0030,-0.9336,0.0508,-1.00,0.59,-0.1523,0.0391,9.8867,-0.1523,-0.0717,28.48,0.00,0.00,1
0.293,-0.0586,0.0234,0.2031,0.0168,0.5234,0.0161,-1.01,0.59,-0.1523,0.0391,9.8867,-0.1523,-0.0841,28.48,0.00,0.00,1
0.314,0.0156,0.0068,-0.3711,-0.0079,-0.1641,0.0835,-1.02,0.58,-0.8438,0.0781,8.6953,-0.8438,-0.1476,28.48,0.00,0.00,1
0.331,-0.7500,-0.1601,0.2500,0.0266,-0.6641,-0.0974,-1.02,0.58,-0.1914,-0.1914,8.9219,-0.1914,-0.2928,28.48,0.00,0.00,1
0.344,-0.0977,-0.1905,-0.0195,0.0346,-0.4336,-0.1874,-1.02,0.57,0.2305,-0.2305,9.8867,0.2305,-0.2366,28.48,0.00,0.00,1
0.362,0.3242,-0.0708,-0.0586,0.0106,0.5234,-0.0454,-1.03,0.59,0.1133,0.0000,9.5039,0.1133,-0.1135,28.48,0.00,0.00,1
0.381,0.5156,0.0553,-0.0586,0.0339,0.6016,0.0768,-1.04,0.60,0.4219,-0.2305,9.9648,0.4219,0.0321,28.48,0.00,0.00,1
0.401,0.0937,0.1521,-0.1328,0.0018,0.2930,0.2010,-1.04,0.60,0.0000,-0.3047,9.6523,0.0000,0.0493,28.48,0.00,0.00,1
0.412,0.0937,0.1432,-0.1328,-0.0189,0.2930,0.2151,-1.05,0.59,-0.8047,0.0000,8.1562,-0.8047,-0.0227,28.48,0.00,0.00,1
0.429,-0.3672,-0.0744,-0.0195,0.0134,-0.1641,-0.0987,-1.05,0.60,-0.4609,-0.1914,9.1992,-0.4609,-0.2132,28.48,0.00,0.00,1
0.450,0.0234,-0.1262,-0.2422,-0.0138,-0.2812,-0.1266,-1.06,0.62,-0.0781,-0.4219,9.0781,-0.0781,-0.1987,28.48,0.00,0.00,1
0.463,0.5156,-0.0537,0.2578,-0.0243,0.7930,-0.0749,-1.06,0.61,0.4219,0.0781,10.1523,0.4219,-0.0614,28.48,0.00,0.00,1
0.481,0.5156,0.1078,-0.0898,0.0279,0.6406,0.1590,-1.07,0.59,0.4219,-0.2695,10.0000,0.4219,0.0757,28.48,0.00,0.00,1
0.501,0.5156,0.2468,-0.2031,-0.0373,0.5234,0.2973,-1.08,0.60,-0.9961,0.0000,8.2773,-0.9961,0.0803,28.48,0.00,0.00,1
0.521,-0.0586,0.0038,0.0664,0.0057,-0.0508,0.0008,-1.09,0.61,-0.1523,-0.1133,9.3047,-0.1523,-0.1000,28.48,0.00,0.00,1
0.532,-0.0508,-0.0088,0.0664,0.0191,-0.0508,-0.0106,-1.10,0.62,-0.6914,-0.3828,8.5781,-0.6914,-0.1547,28.48,0.00,0.00,1
0.551,-0.5977,-0.1417,-0.2031,-0.0271,-0.7773,-0.1828,-1.10,0.59,0.1914,0.0391,9.7695,0.1914,-0.2363,28.48,0.00,0.00,1
