t_s,roll_deg,pitch_deg,raw_ax_mps2,raw_ax_filt_mps2,raw_ay_mps2,raw_az_mps2,speed_kmh,hall_f_hz,hall_r_hz,gps_fix
0.003,3.16,0.43,0.2695,0.2695,0.4961,9.8867,0.02,0.00,0.00,1
0.023,3.14,0.44,-0.5742,0.0828,0.8438,8.7734,0.02,0.00,0.00,1
0.037,3.14,0.44,-0.1523,0.0156,0.5352,9.3047,0.02,0.00,0.00,1
0.054,3.13,0.44,-0.4961,-0.1177,0.3437,8.7383,0.02,0.00,0.00,1
0.077,3.12,0.40,0.2695,0.0014,0.8047,9.9609,0.02,0.00,0.00,1
0.088,3.11,0.40,0.2695,0.0426,0.8047,9.9609,0.02,0.00,0.00,1
0.108,3.09,0.40,-0.4219,0.1188,0.6133,8.4609,0.02,0.00,0.00,1
0.125,3.07,0.40,-0.0391,-0.0039,0.7266,9.5820,0.02,0.00,0.00,1
0.143,3.06,0.40,-0.9961,-0.1609,0.1523,7.5469,0.02,0.00,0.00,1
0.156,3.05,0.38,0.6914,-0.1542,0.9570,10.6523,0.02,0.00,0.00,1
0.175,3.02,0.37,0.1914,0.0456,0.4219,9.5039,0.02,0.00,0.00,1
0.194,3.00,0.38,0.5742,0.1800,0.3047,9.8867,0.02,0.00,0.00,1
0.207,2.99,0.39,-0.3828,0.1640,0.7656,8.9609,0.02,0.00,0.00,1
0.224,2.97,0.38,0.2695,0.1220,0.6133,9.7305,0.02,0.00,0.00,1
0.243,2.95,0.37,-1.2266,-0.1673,0.3828,7.7734,0.02,0.00,0.00,1
0.258,2.93,0.35,-0.0391,-0.1389,0.6523,9.5039,0.02,0.00,0.00,1
0.275,2.90,0.36,0.1523,-0.0682,0.6523,9.9648,0.02,0.00,0.00,1
0.295,2.88,0.38,-0.2695,-0.0370,0.5742,8.9609,0.02,0.00,0.00,1
0.316,2.85,0.37,0.1914,-0.0142,0.6523,10.0000,0.02,0.00,0.00,1
