t_s,lin_ax_raw_mps2,lin_ax_filt_mps2,lin_ay_raw_mps2,lin_ay_filt_mps2,lin_az_raw_mps2,lin_az_filt_mps2,roll_deg,pitch_deg,raw_ax_mps2,raw_ay_mps2,raw_az_mps2,bike_long_acc_raw_mps2,bike_long_acc_filt_mps2,speed_kmh,hall_f_hz,hall_r_hz,gps_fix
0.003,0.0820,-0.2702,-0.1797,-0.0036,-0.1719,-0.1395,-3.58,1.17,-0.1133,-0.7656,9.1992,0.0763,0.0763,40.74,0.00,0.00,1
0.026,0.6172,0.0203,0.3164,0.0668,0.8984,0.1513,-3.57,1.15,0.2695,-0.5742,10.1875,0.4554,0.2737,40.74,0.00,0.00,1
0.037,0.4648,0.0998,0.0117,0.0807,0.8242,0.2601,-3.57,1.15,0.2695,-0.5742,10.1875,0.4559,0.3017,40.74,0.00,0.00,1
0.056,0.4648,0.2242,-0.3711,-0.0016,0.2852,0.3696,-3.57,1.17,-0.6523,-0.4219,8.7344,-0.4633,0.2814,40.74,0.00,0.00,1
0.075,-0.4570,0.0884,0.1641,0.0121,-0.6328,0.1425,-3.57,1.16,-0.2695,-0.4961,9.4648,-0.0810,0.1009,40.74,0.00,0.00,1
0.093,-0.8398,-0.0502,-0.1875,0.0190,-1.4766,-0.0414,-3.56,1.15,-1.0352,-0.7656,7.8945,-0.8487,-0.1307,40.74,0.00,0.00,1
0.105,-0.8398,-0.1715,-0.1875,-0.0127,-1.4766,-0.2618,-3.55,1.13,0.0000,-0.2305,10.2266,0.1832,-0.1586,40.74,0.00,0.00,1
0.124,-0.0430,-0.1264,-0.1484,0.0398,0.0195,-0.0806,-3.55,1.12,-0.2305,-0.7266,9.3828,-0.0489,-0.0931,40.74,0.00,0.00,1
0.142,-0.2266,-0.1174,0.0039,-0.0014,-0.5547,-0.0982,-3.54,1.15,-0.4219,-0.5742,8.8125,-0.2365,-0.1220,40.74,0.00,0.00,1
0.156,0.2344,-0.1047,0.2344,0.0182,0.4023,-0.1226,-3.54,1.15,0.0391,-0.3437,9.7656,0.2244,-0.0453,40.74,0.00,0.00,1
0.174,0.3867,0.0231,-0.1133,0.0641,0.4023,0.0563,-3.54,1.17,0.1914,-0.6914,9.7656,0.3805,0.0811,40.74,0.00,0.00,1
0.196,-0.1094,0.0708,0.3086,0.0684,-0.1719,0.0861,-3.53,1.16,0.0781,-0.5352,9.6484,0.2662,0.0730,40.74,0.00,0.00,1
0.207,0.2734,0.0738,0.0430,0.0841,0.2852,0.0830,-3.53,1.17,0.0781,-0.5352,9.6484,0.2678,0.1029,40.74,0.00,0.00,1
0.226,0.3086,0.1473,-0.2656,0.0227,0.6680,0.2107,-3.54,1.18,-0.5352,-0.4609,8.4648,-0.3439,0.1177,40.74,0.00,0.00,1
0.244,-0.3398,0.0495,0.1172,0.0256,-0.9023,-0.0071,-3.53,1.17,-0.3047,-0.4219,9.4648,-0.1155,0.0049,40.74,0.00,0.00,1
0.263,-0.6562,-0.0616,-0.1484,0.0435,-0.9766,-0.1154,-3.53,1.15,-0.8438,-0.7266,8.3945,-0.6573,-0.1561,40.74,0.00,0.00,1
