t_s,roll_deg,pitch_deg,raw_ax_mps2,raw_ax_filt_mps2,raw_ay_mps2,raw_az_mps2,speed_kmh,hall_f_hz,hall_r_hz,gps_fix
0.001,-3.69,0.27,-0.0781,-0.0781,-0.4961,9.5430,0.00,0.00,0.00,1
0.022,-3.69,0.27,0.1914,0.0452,-0.4219,9.6484,0.00,0.00,0.00,1
0.035,-3.69,0.26,0.1914,0.0677,-0.4219,9.6484,0.00,0.00,0.00,1
0.054,-3.69,0.24,0.1914,0.1329,-0.8828,10.0352,0.00,0.00,0.00,1
0.071,-3.69,0.26,-0.7656,0.0730,-0.6133,8.0391,0.00,0.00,0.00,1
0.091,-3.69,0.26,-0.2695,-0.1031,-0.4609,9.4648,0.00,0.00,0.00,1
0.103,-3.69,0.27,-0.6914,-0.1624,-0.8047,8.2383,0.00,0.00,0.00,1
0.121,-3.69,0.26,0.3828,-0.1050,-0.3828,9.8477,0.00,0.00,0.00,1
0.141,-3.70,0.27,0.1523,-0.0177,-0.5742,10.4570,0.00,0.00,0.00,1
0.154,-3.69,0.28,-0.0391,-0.0224,-0.8828,8.8125,0.00,0.00,0.00,1
0.171,-3.69,0.27,-0.1133,-0.0445,-0.3828,9.5039,0.00,0.00,0.00,1
0.194,-3.69,0.26,-0.5352,-0.0087,-0.6523,8.3945,0.00,0.00,0.00,1
0.205,-3.69,0.26,-0.5352,-0.0895,-0.6523,8.3945,0.00,0.00,0.00,1
0.224,-3.69,0.26,-0.3828,-0.1283,-0.7656,9.3437,0.00,0.00,0.00,1
0.242,-3.69,0.26,-0.5742,-0.2158,-0.6133,8.3164,0.00,0.00,0.00,1
0.261,-3.69,0.25,-0.0391,-0.2195,-0.5352,9.5820,0.00,0.00,0.00,1
0.273,-3.69,0.25,0.1914,-0.1734,-0.6914,9.4219,0.00,0.00,0.00,1
0.291,-3.69,0.23,0.3047,-0.0239,-0.3437,9.8437,0.00,0.00,0.00,1
0.311,-3.69,0.22,0.2305,0.0528,-0.4609,10.1133,0.00,0.00,0.00,1
0.324,-3.70,0.23,0.5352,0.1045,-1.0352,9.7305,0.00,0.00,0.00,1
0.341,-3.70,0.24,-0.4961,-0.0016,-0.3437,8.9219,0.00,0.00,0.00,1
0.363,-3.70,0.25,-0.8047,-0.1328,-0.7656,8.2383,0.00,0.00,0.00,1
0.375,-3.70,0.24,-0.8047,-0.2360,-0.7656,8.2383,0.00,0.00,0.00,1
0.394,-3.70,0.22,0.0781,-0.1565,-0.5742,10.0000,0.00,0.00,0.00,1
0.412,-3.70,0.22,0.4609,-0.0593,-0.8047,9.5781,0.00,0.00,0.00,1
0.430,-3.71,0.23,0.0000,0.0174,-0.4961,9.5039,0.00,0.00,0.00,1
0.443,-3.71,0.23,0.1914,0.0301,-0.4609,9.7695,0.00,0.00,0.00,1
0.461,-3.71,0.23,-0.8047,-0.0039,-0.7266,8.1562,0.00,0.00,0.00,1
0.480,-3.71,0.21,-0.0781,-0.1161,-0.3437,9.8047,0.00,0.00,0.00,1
0.494,-3.71,0.20,-0.2695,-0.1256,-0.8047,8.9258,0.00,0.00,0.00,1
