t_s,roll_deg,pitch_deg,raw_ax_mps2,raw_ax_filt_mps2,raw_ay_mps2,raw_az_mps2,speed_kmh,hall_f_hz,hall_r_hz,gps_fix
0.001,-1.15,-0.41,0.3437,0.3437,0.0391,9.5820,0.02,0.00,0.00,1
0.020,-1.18,-0.40,0.0781,0.2850,-0.4609,9.5820,0.02,0.00,0.00,1
0.040,-1.19,-0.41,0.1133,0.2341,0.0781,9.1953,0.02,0.00,0.00,1
0.052,-1.19,-0.41,0.0391,0.2041,-0.0781,10.0742,0.02,0.00,0.00,1
0.070,-1.22,-0.39,0.4961,0.2490,-0.6914,9.5391,0.02,0.00,0.00,1
0.093,-1.24,-0.39,0.0000,0.1456,-0.1133,9.4648,0.02,0.00,0.00,1
0.103,-1.25,-0.38,0.0000,0.1233,-0.1133,9.4648,0.02,0.00,0.00,1
0.124,-1.26,-0.38,0.3047,-0.0813,0.0781,10.4180,0.02,0.00,0.00,1
0.141,-1.28,-0.39,0.1133,0.0129,-0.4961,9.0039,0.02,0.00,0.00,1
0.154,-1.29,-0.39,-0.2305,0.0076,-0.2305,9.3047,0.02,0.00,0.00,1
0.171,-1.30,-0.38,0.2305,-0.0231,-0.2695,9.4258,0.02,0.00,0.00,1
0.190,-1.31,-0.37,0.0781,0.0297,-0.3828,9.6484,0.02,0.00,0.00,1
0.209,-1.32,-0.38,0.1133,0.0512,0.0000,9.0820,0.02,0.00,0.00,1
0.222,-1.33,-0.37,0.0000,0.0517,-0.1133,10.0039,0.02,0.00,0.00,1
0.240,-1.35,-0.37,0.7266,0.1948,-0.7266,9.7656,0.02,0.00,0.00,1
0.264,-1.35,-0.37,0.1523,0.1274,-0.3047,9.3828,0.02,0.00,0.00,1
0.273,-1.36,-0.36,0.1523,0.1312,-0.3047,9.3828,0.02,0.00,0.00,1
0.290,-1.37,-0.36,-0.8828,-0.0919,-0.2695,8.0430,0.02,0.00,0.00,1
0.311,-1.37,-0.38,0.2305,0.0781,-0.0781,10.1133,0.02,0.00,0.00,1
0.330,-1.37,-0.37,-0.6523,-0.0143,-0.5742,8.0391,0.02,0.00,0.00,1
0.342,-1.38,-0.37,0.0781,-0.0538,0.0781,9.8047,0.02,0.00,0.00,1
0.361,-1.39,-0.36,-0.6133,-0.0717,-0.5352,8.1953,0.02,0.00,0.00,1
0.381,-1.39,-0.38,0.6133,0.0151,-0.0781,10.1484,0.02,0.00,0.00,1
0.392,-1.39,-0.38,-0.0391,0.0548,-0.1523,9.7656,0.04,0.00,0.00,1
