t_s,gyro_x_rads,gyro_y_rads,raw_ax_mps2,raw_ay_mps2,raw_az_mps2,speed_kmh,hall_f_hz,hall_r_hz,gps_fix
0.021,0.0156,-0.0449,-0.0781,-0.4961,9.2656,0.00,0.00,0.00,1
0.038,-0.0234,0.0020,0.2695,-0.7656,9.9609,0.00,0.00,0.00,1
0.055,0.0176,-0.0137,0.3828,-0.8828,9.6914,0.00,0.00,0.00,1
0.072,-0.0078,-0.0098,-0.6133,-0.5352,8.7383,0.00,0.00,0.00,1
0.096,-0.0254,0.0469,-0.7656,-0.7656,8.1602,0.00,0.00,0.00,1
0.106,0.0020,-0.0488,-0.7656,-0.7656,8.1602,0.00,0.00,0.00,1
0.123,-0.0410,0.0117,0.6523,-0.4219,10.1523,0.00,0.00,0.00,1
0.144,0.0117,0.0449,0.3047,-0.8047,9.7656,0.00,0.00,0.00,1
0.162,0.0059,0.0059,-0.1133,-1.0352,9.2305,0.00,0.00,0.00,1
0.174,0.0117,-0.0117,0.1914,-0.6133,9.7695,0.00,0.00,0.00,1
0.193,0.0176,-0.0645,-0.5742,-0.6133,8.4258,0.00,0.00,0.00,1
0.208,-0.0039,0.0117,0.4961,-0.5352,10.1094,0.00,0.00,0.00,1
0.225,0.0156,-0.0586,-0.5742,-1.1094,8.9219,0.00,0.00,0.00,1
0.243,-0.0273,0.0078,-0.1133,-0.5352,9.3867,0.00,0.00,0.00,1
0.261,0.0039,-0.0234,-0.0781,-0.8438,9.2656,0.00,0.00,0.00,1
0.276,-0.0254,0.0645,0.2695,-0.8828,9.5430,0.00,0.00,0.00,1
0.293,-0.0059,0.0273,-0.1914,-0.4219,9.0039,0.00,0.00,0.00,1
0.314,0.0273,-0.0605,0.1523,-1.1484,9.5000,0.00,0.00,0.00,1
0.327,0.0117,0.0625,0.1523,-1.1484,9.5000,0.00,0.00,0.00,1
0.345,0.0371,0.0215,-0.3047,-0.6523,9.2266,0.00,0.00,0.00,1
0.364,-0.0156,0.0664,-0.1914,-1.1094,9.1953,0.00,0.00,0.00,1
0.378,0.0391,-0.0684,0.5352,-0.4219,9.9609,0.00,0.00,0.00,1
0.395,-0.0117,0.0156,0.2305,-0.6914,10.0312,0.00,0.00,0.00,1
0.412,0.0020,0.0449,0.4961,-0.7266,9.7305,0.00,0.00,0.00,1
0.431,0.0254,0.0176,-0.3437,-0.6133,8.7383,0.00,0.00,0.00,1
0.446,0.0000,-0.0391,-0.2305,-0.6133,9.1172,0.00,0.00,0.00,1
0.463,0.0273,-0.1133,-0.6133,-1.1875,8.1953,0.00,0.00,0.00,1
0.480,-0.0117,-0.0195,1.1484,-0.3828,10.5703,0.00,0.00,0.00,1
0.497,0.0117,-0.0020,0.0391,-0.4961,9.5039,0.00,0.00,0.00,1
0.517,-0.0137,0.0195,-0.3828,-0.5742,9.0000,0.00,0.00,0.00,1
0.534,-0.0059,-0.0312,0.3047,-0.3828,9.7695,0.00,0.00,0.00,1
0.548,-0.0098,0.0664,-1.4180,-0.9961,7.4727,0.00,0.00,0.00,1
0.565,-0.0098,0.0176,0.5742,-0.5352,10.6133,0.00,0.00,0.00,1
